Track Name,Artist Name,Acousticness,Danceability,Energy,Instrumentalness,Speechiness,Liveness,Loudness,Tempo,Valence,Popularity,Release Date,Genres
Michael Jackson - Calvin Harris - Radio Edit,The Mitchell Brothers,0.0221,0.895,0.525,0,0.063,0.0339,-5.643,119.968,0.92,1,10/9/2020,['grime']
Monkey Wrench,Foo Fighters,1.83E-05,0.401,0.953,2.56E-05,0.0752,0.149,-4.276,174.217,0.555,71,5/20/1997,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
My Hero,Foo Fighters,6.20E-05,0.398,0.927,0.000177,0.0567,0.0575,-4.212,77.106,0.311,78,5/20/1997,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
Price Tag,Jessie J,0.0281,0.638,0.831,3.06E-06,0.182,0.277,-3.944,175.038,0.685,65,1/1/2011,"['dance pop', 'pop']"
Save Me,Remy Zero,0.000639,0.43,0.971,0,0.0672,0.107,-3.91,96.235,0.294,62,9/18/2001,['alabama indie']
Skin And Bones,Foo Fighters,0.0233,0.551,0.505,0.00514,0.0262,0.5,-8.596,101.182,0.246,45,11/3/2009,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
The Pretender,Foo Fighters,0.000917,0.433,0.959,0,0.0431,0.028,-4.04,172.984,0.365,80,9/25/2007,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
This Is A Call,Foo Fighters,0.00141,0.261,0.964,2.87E-05,0.0638,0.183,-6.654,162.902,0.326,62,7/4/1995,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
Times Like These,Foo Fighters,1.40E-05,0.376,0.908,1.40E-05,0.0879,0.241,-3.793,144.581,0.266,70,10/22/2002,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
Wheels,Foo Fighters,0.000495,0.426,0.792,5.10E-06,0.0374,0.142,-4.709,161.994,0.557,63,11/3/2009,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
Word Forward,Foo Fighters,0.00222,0.43,0.866,3.97E-06,0.0413,0.349,-5.412,142.078,0.174,46,11/3/2009,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
